Itens_consumidos,Ocupacao_vetor
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,100
43,99
44,99
45,99
46,99
47,99
48,99
49,99
50,99
51,99
52,99
53,99
54,99
55,99
56,99
57,99
58,99
59,99
60,99
61,99
62,99
63,99
64,99
65,99
66,99
67,99
68,99
69,99
70,99
71,99
72,99
73,99
74,99
75,99
76,99
77,99
78,99
79,99
80,99
81,99
82,99
83,99
84,99
85,99
86,100
87,99
88,99
89,99
90,100
91,100
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,98
100,98
101,97
102,97
103,96
104,96
105,95
106,95
107,94
108,94
109,100
110,99
111,99
112,99
113,99
114,99
115,99
116,99
117,99
118,99
119,99
120,100
121,99
122,99
123,99
124,99
125,99
126,99
127,99
128,99
129,99
130,99
131,99
132,99
133,99
134,99
135,99
136,99
137,99
138,99
139,99
140,100
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,100
154,99
155,100
156,99
157,99
158,99
159,99
160,99
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,100
170,99
171,99
172,100
173,99
174,99
175,99
176,99
177,99
178,99
179,99
180,99
181,99
182,99
183,100
184,99
185,99
186,99
187,99
188,99
189,99
190,99
191,99
192,99
193,99
194,99
195,99
196,99
197,99
198,99
199,100
200,99
201,100
202,100
203,99
204,99
205,99
206,99
207,99
208,99
209,99
210,99
211,99
212,99
213,99
214,99
215,99
216,99
217,99
218,99
219,100
220,99
221,99
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
230,99
231,99
232,99
233,100
234,99
235,100
236,99
237,99
238,99
239,99
240,99
241,99
242,99
243,99
244,99
245,99
246,99
247,100
248,99
249,99
250,99
251,99
252,99
253,99
254,99
255,99
256,99
257,99
258,99
259,99
260,99
261,99
262,100
263,99
264,99
265,99
266,99
267,99
268,99
269,99
270,99
271,99
272,99
273,99
274,99
275,99
276,99
277,99
278,99
279,99
280,99
281,99
282,99
283,99
284,99
285,99
286,99
287,99
288,99
289,99
290,99
291,99
292,99
293,99
294,99
295,99
296,99
297,99
298,99
299,99
300,99
301,99
302,99
303,99
304,99
305,99
306,99
307,99
308,99
309,99
310,99
311,99
312,99
313,100
314,99
315,99
316,99
317,99
318,99
319,99
320,99
321,99
322,99
323,99
324,99
325,99
326,99
327,99
328,99
329,100
330,99
331,99
332,99
333,99
334,99
335,99
336,99
337,99
338,99
339,99
340,99
341,99
342,99
343,100
344,99
345,99
346,99
347,99
348,99
349,99
350,99
351,99
352,99
353,99
354,99
355,99
356,99
357,99
358,99
359,99
360,99
361,99
362,100
363,100
364,99
365,99
366,99
367,99
368,99
369,99
370,99
371,99
372,99
373,99
374,99
375,99
376,99
377,100
378,99
379,99
380,99
381,99
382,99
383,99
384,99
385,99
386,99
387,99
388,99
389,99
390,99
391,100
392,99
393,98
394,98
395,97
396,97
397,96
398,96
399,95
400,95
401,94
402,94
403,93
404,93
405,92
406,92
407,91
408,91
409,90
410,90
411,89
412,89
413,88
414,88
415,87
416,87
417,86
418,86
419,85
420,85
421,84
422,84
423,83
424,83
425,82
426,82
427,81
428,81
429,80
430,80
431,79
432,79
433,78
434,78
435,77
436,77
437,76
438,76
439,75
440,75
441,74
442,74
443,73
444,73
445,72
446,72
447,71
448,71
449,70
450,70
451,69
452,69
453,68
454,68
455,67
456,67
457,66
458,66
459,65
460,65
461,64
462,64
463,100
464,99
465,99
466,99
467,99
468,99
469,99
470,99
471,99
472,99
473,100
474,100
475,99
476,99
477,99
478,99
479,99
480,99
481,99
482,99
483,99
484,99
485,100
486,99
487,99
488,100
489,99
490,99
491,99
492,99
493,99
494,99
495,99
496,99
497,99
498,99
499,99
500,99
501,99
502,99
503,99
504,99
505,99
506,99
507,99
508,100
509,99
510,99
511,99
512,99
513,99
514,99
515,99
516,99
517,99
518,99
519,99
520,99
521,99
522,99
523,100
524,99
525,99
526,99
527,99
528,99
529,99
530,99
531,99
532,99
533,99
534,99
535,99
536,100
537,100
538,99
539,100
540,99
541,99
542,99
